Atoll,Locality,Population,Area (in sq km),MapLink,wat_Funding,wat_Phase,wat_Status,wat_Network (m),wat_Connections (nos),wat_Tanks (m3),sew_Funding,sew_Phase,sew_Status,sew_Network,sew_Connections,har_Funding,har_hase ,har_Status,har_Info,des_Funding,des_Phase ,des_Status,Proposed_for_funding,Ongoing_Harbor_Project,Urban_centers
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
